accountNumber,ds,y,creditLimit,currentBalance,availableMoney,n_transactions
101380713,2016-01,-920.81,10000,637.23,9362.77,7
101380713,2016-02,-354.03999999999996,10000,1157.49,8842.51,3
101380713,2016-03,-818.3299999999999,10000,1944.5,8055.5,10
101380713,2016-04,-979.35,10000,2927.95,7072.05,7
101380713,2016-05,-2758.25,10000,5641.05,4358.95,13
101380713,2016-06,-1799.79,10000,7434.04,2565.96,8
101380713,2016-07,-964.86,10000,8422.16,1577.84,10
101380713,2016-08,-2586.18,10000,3367.9,6632.1,13
101380713,2016-09,-1557.8200000000002,10000,4720.9,5279.1,11
101380713,2016-10,-1900.27,10000,6834.99,3165.01,16
101380713,2016-11,-2252.92,10000,9088.08,911.92,12
101380713,2016-12,-827.98,10000,1055.67,8944.33,7
102980467,2016-01,-1525.86,50000,1511.77,48488.23,10
102980467,2016-02,-1802.31,50000,1660.51,48339.49,11
102980467,2016-03,-668.94,50000,566.93,49433.07,9
102980467,2016-04,-1118.71,50000,1087.5,48912.5,6
102980467,2016-05,-1636.9499999999998,50000,1498.79,48501.21,12
102980467,2016-06,-2066.0099999999998,50000,1993.95,48006.05,16
102980467,2016-07,-1871.6,50000,1755.29,48244.71,11
102980467,2016-08,-1057.0,50000,995.44,49004.56,9
102980467,2016-09,-544.47,50000,466.71,49533.29,4
102980467,2016-10,-1787.6399999999999,50000,1689.81,48310.19,9
102980467,2016-11,-618.26,50000,475.03,49524.97,9
102980467,2016-12,-2370.56,50000,2148.21,47851.79,10
104372944,2016-08,-61.87,2500,0.0,2500.0,1
104372944,2016-09,-101.65,2500,88.39,2411.61,2
104372944,2016-10,-104.49000000000001,2500,167.15,2332.85,2
104372944,2016-11,-153.79000000000002,2500,295.28,2204.72,3
104372944,2016-12,-111.74000000000001,2500,373.55,2126.45,2
109363780,2016-05,-27.85,15000,0.0,15000.0,1
109363780,2016-07,-216.58,15000,2.85,14997.15,1
109363780,2016-08,-730.9599999999999,15000,900.09,14099.91,3
109363780,2016-10,-4.24,15000,900.39,14099.61,1
109363780,2016-11,-4.24,15000,879.63,14120.37,1
109363780,2016-12,-4.24,15000,858.87,14141.13,1
110443122,2016-01,-849.67,10000,693.61,9306.39,6
110443122,2016-02,-104.11000000000001,10000,1100.84,8899.16,5
110443122,2016-03,-1198.71,10000,2302.57,7697.43,10
110443122,2016-04,-1212.5,10000,3217.41,6782.59,9
110443122,2016-05,-375.90999999999997,10000,3590.64,6409.36,5
110443122,2016-06,-1428.66,10000,4804.0,5196.0,9
110443122,2016-07,-733.62,10000,5702.92,4297.08,9
110443122,2016-08,-108.97999999999999,10000,5778.44,4221.56,2
110443122,2016-09,-1061.44,10000,6767.48,3232.52,7
110443122,2016-10,-1967.0,10000,8523.83,1476.17,11
110443122,2016-11,-310.02,10000,8894.71,1105.29,6
110443122,2016-12,-1297.6100000000001,10000,7378.3,2621.7,9
110625245,2016-03,-141.65,500,0.0,500.0,1
