accountNumber,type,amount,frequency
100000001,loan_installment,992.19,monthly
100000001,credit_card_min_payment,288.18,monthly
100000001,subscription_debit,318.48,monthly
100000002,loan_installment,5655.85,monthly
100000002,subscription_debit,528.75,monthly
100000003,credit_card_min_payment,281.95,monthly
100000003,subscription_debit,292.0,monthly
100000004,loan_installment,2313.79,monthly
100000004,subscription_debit,541.87,monthly
100000005,subscription_debit,195.45,monthly
100000006,loan_installment,1467.37,monthly
100000006,credit_card_min_payment,665.45,monthly
100000006,subscription_debit,183.94,monthly
100000007,loan_installment,898.44,monthly
100000007,subscription_debit,378.49,monthly
100000008,subscription_debit,229.14,monthly
100000009,loan_installment,563.51,monthly
100000009,credit_card_min_payment,730.21,monthly
100000009,subscription_debit,355.55,monthly
100000010,subscription_debit,374.17,monthly
100000011,loan_installment,319.86,monthly
100000011,subscription_debit,184.86,monthly
100000012,credit_card_min_payment,1223.21,monthly
100000012,subscription_debit,391.57,monthly
100000013,credit_card_min_payment,661.4,monthly
100000013,subscription_debit,299.02,monthly
100000014,loan_installment,1101.49,monthly
100000014,credit_card_min_payment,455.22,monthly
100000014,subscription_debit,180.44,monthly
100000015,subscription_debit,464.2,monthly
100000016,loan_installment,1004.76,monthly
100000016,subscription_debit,291.23,monthly
100000017,loan_installment,803.99,monthly
100000017,subscription_debit,168.79,monthly
100000018,subscription_debit,201.89,monthly
100000019,credit_card_min_payment,2096.28,monthly
100000019,subscription_debit,332.8,monthly
100000020,subscription_debit,112.14,monthly
100000021,loan_installment,790.41,monthly
100000021,credit_card_min_payment,466.71,monthly
100000021,subscription_debit,197.69,monthly
100000022,subscription_debit,139.87,monthly
100000023,subscription_debit,213.01,monthly
100000024,subscription_debit,278.54,monthly
100000025,subscription_debit,358.18,monthly
100000026,loan_installment,738.43,monthly
100000026,credit_card_min_payment,364.31,monthly
100000026,subscription_debit,218.8,monthly
100000027,credit_card_min_payment,841.8,monthly
100000027,subscription_debit,240.83,monthly
100000028,loan_installment,1622.79,monthly
100000028,subscription_debit,299.97,monthly
100000029,credit_card_min_payment,191.47,monthly
100000029,subscription_debit,283.42,monthly
100000030,credit_card_min_payment,712.92,monthly
100000030,subscription_debit,646.4,monthly
100000031,loan_installment,243.18,monthly
100000031,subscription_debit,75.5,monthly
100000032,loan_installment,922.29,monthly
100000032,subscription_debit,258.61,monthly
100000033,subscription_debit,248.18,monthly
100000034,loan_installment,1534.34,monthly
100000034,credit_card_min_payment,948.87,monthly
100000034,subscription_debit,237.0,monthly
100000035,subscription_debit,528.66,monthly
100000036,subscription_debit,347.05,monthly
100000037,subscription_debit,274.27,monthly
100000038,loan_installment,3278.33,monthly
100000038,credit_card_min_payment,583.81,monthly
100000038,subscription_debit,367.25,monthly
100000039,credit_card_min_payment,692.11,monthly
100000039,subscription_debit,181.2,monthly
100000040,credit_card_min_payment,266.68,monthly
100000040,subscription_debit,379.5,monthly
100000041,subscription_debit,353.81,monthly
100000042,credit_card_min_payment,516.96,monthly
100000042,subscription_debit,147.17,monthly
100000043,loan_installment,3402.27,monthly
100000043,subscription_debit,532.41,monthly
100000044,credit_card_min_payment,995.42,monthly
100000044,subscription_debit,251.74,monthly
100000045,credit_card_min_payment,1814.25,monthly
100000045,subscription_debit,327.25,monthly
100000046,subscription_debit,219.73,monthly
100000047,credit_card_min_payment,561.61,monthly
100000047,subscription_debit,338.95,monthly
100000048,credit_card_min_payment,1500.18,monthly
100000048,subscription_debit,230.02,monthly
100000049,subscription_debit,411.39,monthly
100000050,loan_installment,650.33,monthly
100000050,credit_card_min_payment,665.77,monthly
100000050,subscription_debit,169.51,monthly
100000051,credit_card_min_payment,406.51,monthly
100000051,subscription_debit,224.31,monthly
100000052,subscription_debit,263.82,monthly
100000053,loan_installment,4614.53,monthly
100000053,subscription_debit,407.9,monthly
100000054,loan_installment,665.88,monthly
100000054,subscription_debit,351.64,monthly
100000055,loan_installment,1121.52,monthly
