accountNumber,ds,income,spending,y
100000001,2024-08,14798.58,10220.26,4578.32
100000001,2024-09,14798.58,9941.51,4857.07
100000001,2024-10,14798.58,9811.19,4987.39
100000001,2024-11,14798.58,9284.96,5513.62
100000001,2024-12,14798.58,9474.14,5324.44
100000001,2025-01,14798.58,9899.91,4898.67
100000001,2025-02,14798.58,10181.45,4617.13
100000001,2025-03,14798.58,9837.2,4961.38
100000001,2025-04,14798.58,10074.7,4723.88
100000001,2025-05,14798.58,10375.69,4422.89
100000001,2025-06,14798.58,10157.22,4641.36
100000001,2025-07,14798.58,9211.24,5587.34
100000001,2025-08,14798.58,9558.32,5240.26
100000001,2025-09,14798.58,9065.8,5732.78
100000001,2025-10,14798.58,9741.14,5057.44
100000001,2025-11,14798.58,10438.92,4359.66
100000001,2025-12,14798.58,10379.94,4418.64
100000001,2026-01,14798.58,9286.05,5512.53
100000001,2026-02,14798.58,10748.32,4050.26
100000001,2026-03,14798.58,9914.19,4884.39
100000001,2026-04,14798.58,9673.09,5125.49
100000001,2026-05,14798.58,9952.76,4845.82
100000001,2026-06,14798.58,10249.2,4549.38
100000001,2026-07,14798.58,10079.91,4718.67
100000002,2024-08,47763.12,27531.11,20232.01
100000002,2024-09,47763.12,25230.36,22532.76
100000002,2024-10,47763.12,27950.93,19812.19
100000002,2024-11,47763.12,27506.12,20257.0
100000002,2024-12,47763.12,27165.24,20597.88
100000002,2025-01,47763.12,27514.77,20248.35
100000002,2025-02,47763.12,26981.27,20781.85
100000002,2025-03,47763.12,27096.04,20667.08
100000002,2025-04,47763.12,26517.63,21245.49
100000002,2025-05,47763.12,26583.56,21179.56
100000002,2025-06,47763.12,25270.23,22492.89
100000002,2025-07,47763.12,26393.95,21369.17
100000002,2025-08,47763.12,27333.04,20430.08
100000002,2025-09,47763.12,27944.73,19818.39
100000002,2025-10,47763.12,26453.68,21309.44
100000002,2025-11,47763.12,27335.01,20428.11
100000002,2025-12,47763.12,26495.26,21267.86
100000002,2026-01,47763.12,26417.29,21345.83
100000002,2026-02,47763.12,26611.0,21152.12
100000002,2026-03,47763.12,26064.83,21698.29
100000002,2026-04,47763.12,27376.1,20387.02
100000002,2026-05,47763.12,27762.93,20000.19
100000002,2026-06,47763.12,26056.59,21706.53
100000002,2026-07,47763.12,26456.07,21307.05
100000003,2024-08,7086.6,5477.96,1608.64
100000003,2024-09,7086.6,5388.31,1698.29
100000003,2024-10,7086.6,5701.74,1384.86
100000003,2024-11,7086.6,5485.81,1600.79
100000003,2024-12,7086.6,5230.0,1856.6
