person_id,accountNumber,age,years_of_experience,income_bracket,housing_status,base_salary_sar,fixed_allowances_sar,variable_allowances_avg_sar,has_mortgage,rent_sar,credit_card_balance_sar,loan_term_months,gross_salary_sar,employment_type,mortgage_installment_sar,other_loan_installments_sar,credit_card_min_payment_sar,requested_loan_amount_sar,loan_int_rate,new_loan_installment_sar,salary_linked_obligations_sar,total_obligations_sar,salary_dbr,total_obligation_ratio,salary_cap,total_cap,loan_percent_income,eligible_sama,has_active_request
1,100000001,54,34,1,rent,11076.31,2215.26,1507.01,0,3503.58,5763.62,60,14798.58,employee,0.0,992.19,288.18,75158.23,10.68,1622.15,2902.52,2902.52,0.1961,0.1961,0.3333,0.45,0.4232,1,1
2,100000002,32,11,3,mortgage,35977.06,7195.41,4590.64,1,0.0,0.0,60,47763.12,employee,10585.78,5655.85,0.0,275595.37,5.69,5288.4,10944.25,21530.03,0.2291,0.4508,0.3333,0.65,0.4808,1,1
3,100000003,48,25,1,mortgage,5304.1,1060.82,721.68,1,0.0,5638.9,60,7086.6,employee,1604.14,0.0,281.95,47483.66,15.86,1151.18,1433.13,3037.27,0.2022,0.4286,0.3333,0.55,0.5584,1,1
4,100000004,40,16,2,mortgage,16783.48,3356.7,2221.21,1,0.0,0.0,60,22361.38,employee,5044.89,2313.79,0.0,264189.47,15.27,6322.55,8636.34,13681.23,0.3862,0.6118,0.3333,0.65,0.9845,0,1
5,100000005,57,0,1,rent,7455.83,1491.17,935.94,0,1786.2,0.0,60,9882.94,retired,0.0,0.0,0.0,161939.89,5.91,3123.98,3123.98,3123.98,0.3161,0.3161,0.25,0.45,1.3655,0,1
6,100000006,59,37,1,rent,9561.51,1912.3,1180.67,0,2700.65,13309.0,60,12654.49,employee,0.0,1467.37,665.45,86900.81,12.54,1956.86,4089.68,4089.68,0.3232,0.3232,0.3333,0.45,0.5723,1,1
7,100000007,61,39,1,mortgage,7528.25,1505.65,1036.81,1,0.0,0.0,60,10070.7,employee,2364.67,898.44,0.0,88091.17,4.64,1647.9,2546.34,4911.01,0.2528,0.4877,0.3333,0.55,0.7289,1,1
8,100000008,43,22,2,rent,11948.32,2389.66,1571.88,0,2935.79,0.0,60,15909.87,employee,0.0,0.0,0.0,299996.54,6.6,5883.84,5883.84,5883.84,0.3698,0.3698,0.3333,0.45,1.5713,0,1
9,100000009,50,28,2,mortgage,11776.75,2355.35,1622.05,1,0.0,14604.27,60,15754.15,employee,3295.0,563.51,730.21,265066.61,6.36,5168.97,6462.69,9757.69,0.4102,0.6194,0.3333,0.65,1.4021,0,1
10,100000010,29,7,1,rent,7498.51,1499.7,1019.34,0,2026.24,0.0,60,10017.56,employee,0.0,0.0,0.0,110823.49,16.26,2710.35,2710.35,2710.35,0.2706,0.2706,0.3333,0.45,0.9219,1,1
11,100000011,70,0,1,mortgage,5447.81,1089.56,677.35,1,0.0,0.0,60,7214.72,retired,1268.47,319.86,0.0,38380.29,11.28,839.85,1159.71,2428.18,0.1607,0.3366,0.25,0.55,0.4433,1,1
12,100000012,38,14,2,rent,17652.26,3530.45,2515.65,0,5133.14,24464.27,60,23698.35,employee,0.0,0.0,1223.21,140447.14,5.39,2675.58,3898.79,3898.79,0.1645,0.1645,0.3333,0.45,0.4939,1,1
13,100000013,27,6,2,rent,11621.51,2324.3,1456.78,0,2937.77,13228.01,60,15402.6,employee,0.0,0.0,661.4,186591.99,7.29,3720.33,4381.73,4381.73,0.2845,0.2845,0.3333,0.45,1.0095,1,1
14,100000014,39,16,2,rent,17512.08,3502.42,2204.47,0,5194.57,9104.49,60,23218.97,employee,0.0,1101.49,455.22,71248.0,11.05,1550.88,3107.59,3107.59,0.1338,0.1338,0.3333,0.45,0.2557,1,1
15,100000015,30,6,1,rent,8901.35,1780.27,1187.5,0,2512.35,0.0,60,11869.11,employee,0.0,0.0,0.0,91557.6,10.86,1984.3,1984.3,1984.3,0.1672,0.1672,0.3333,0.45,0.6428,1,1
16,100000016,70,0,1,rent,8548.65,1709.73,1150.58,0,2249.8,0.0,60,11408.96,retired,0.0,1004.76,0.0,191440.12,15.14,4568.43,5573.19,5573.19,0.4885,0.4885,0.25,0.45,1.3983,0,1
17,100000017,31,7,1,rent,5098.65,1019.73,706.48,0,1262.44,0.0,60,6824.85,employee,0.0,803.99,0.0,57737.04,11.36,1265.73,2069.72,2069.72,0.3033,0.3033,0.3333,0.45,0.705,1,1
18,100000018,42,22,1,rent,7026.67,1405.33,899.02,0,1320.32,0.0,60,9331.02,employee,0.0,0.0,0.0,139172.74,10.92,3020.4,3020.4,3020.4,0.3237,0.3237,0.3333,0.45,1.2429,1,1
19,100000019,60,40,3,mortgage,34537.69,6907.54,4953.95,1,0.0,41925.7,60,46399.17,employee,11351.54,0.0,2096.28,748002.48,10.55,16096.02,18192.3,29543.84,0.3921,0.6367,0.3333,0.65,1.3434,0,1
20,100000020,45,22,2,rent,14033.46,2806.69,1721.55,0,3143.94,0.0,60,18561.7,employee,0.0,0.0,0.0,306507.38,8.66,6312.13,6312.13,6312.13,0.3401,0.3401,0.3333,0.45,1.3761,0,1
21,100000021,63,0,1,rent,7538.84,1507.77,995.32,0,1820.78,9334.26,60,10041.93,retired,0.0,790.41,466.71,184709.74,12.19,4126.52,5383.64,5383.64,0.5361,0.5361,0.25,0.45,1.5328,0,1
22,100000022,25,1,1,rent,9010.98,1802.2,1171.11,0,2181.69,0.0,60,11984.29,employee,0.0,0.0,0.0,68966.45,14.43,1620.14,1620.14,1620.14,0.1352,0.1352,0.3333,0.45,0.4796,1,1
23,100000023,58,0,2,mortgage,17193.54,3438.71,2275.05,1,0.0,0.0,60,22907.31,retired,5037.5,0.0,0.0,365362.9,12.19,8162.42,8162.42,13199.92,0.3563,0.5762,0.25,0.65,1.3291,0,1
24,100000024,69,0,2,rent,14730.5,2946.1,1850.24,0,4650.11,0.0,60,19526.84,retired,0.0,0.0,0.0,109251.49,17.21,2727.53,2727.53,2727.53,0.1397,0.1397,0.25,0.45,0.4662,1,1
25,100000025,37,14,2,mortgage,15219.8,3043.96,2009.34,1,0.0,0.0,60,20273.1,employee,3975.33,0.0,0.0,316754.92,17.09,7887.51,7887.51,11862.84,0.3891,0.5852,0.3333,0.65,1.302,0,1
26,100000026,53,33,1,rent,9180.09,1836.02,1213.56,0,1960.04,7286.3,60,12229.67,employee,0.0,738.43,364.31,228322.35,6.85,4504.92,5607.66,5607.66,0.4585,0.4585,0.3333,0.45,1.5558,0,1
27,100000027,33,9,2,mortgage,15508.6,3101.72,2007.47,1,0.0,16836.01,60,20617.79,employee,3686.07,0.0,841.8,222075.85,5.95,4288.19,5129.99,8816.06,0.2488,0.4276,0.3333,0.65,0.8976,1,1
28,100000028,62,0,1,rent,9830.15,1966.03,1289.4,0,2071.74,0.0,60,13085.58,retired,0.0,1622.79,0.0,60570.3,7.74,1220.62,2843.41,2843.41,0.2173,0.2173,0.25,0.45,0.3857,1,1
29,100000029,62,0,1,mortgage,10285.26,2057.05,1348.32,1,0.0,3829.48,60,13690.63,retired,3034.1,0.0,191.47,75231.87,5.69,1443.62,1635.09,4669.19,0.1194,0.3411,0.25,0.55,0.4579,1,1
